date,strategy_1,strategy_2,strategy_3
2024-12-27,1081.2091957415298,1165.1356222003556,1446.5101734885732
2024-12-30,1076.0180366481404,1158.601521164702,1428.504394349548
2024-12-31,1080.9899984276558,1158.371289869706,1440.1726298294848
2025-01-02,1088.9683138942905,1160.5946123143983,1448.4909778798403
2025-01-03,1085.808217077766,1157.1889904386828,1463.7118659447187
2025-01-06,1090.4300143697521,1161.9906612545674,1503.007288369779
2025-01-07,1089.1829601691998,1156.8145491198482,1468.579376724284
2025-01-08,1085.497612871328,1150.6042528723874,1428.0485571400052
2025-01-09,1089.0465554740638,1149.194282850978,1419.0300561844276
2025-01-10,1077.9777323785065,1136.6874332905825,1408.4342940465763
2025-01-13,1077.6300755318262,1132.5265389575397,1394.9325439162292
2025-01-14,1077.6884825272793,1139.7193964494786,1416.4877120969709
2025-01-15,1090.5343126328721,1154.3745267773943,1454.855154469871
2025-01-16,1097.09454981765,1156.0182640054973,1463.4537734355483
2025-01-17,1104.5405974590124,1167.9734919149128,1498.1862081232175
2025-01-20,1102.512544830866,1167.6135129134766,1493.4330354288186
2025-01-21,1106.466603866325,1162.9464138374035,1503.5823204482926
2025-01-22,1106.354098002225,1167.9909126214752,1506.4753656250768
2025-01-23,1110.1246956581715,1169.879906071125,1496.6506540118269
2025-01-24,1108.671276366245,1173.1594880217176,1515.0498562109428
2025-01-27,1105.1398292086863,1155.5587075613905,1462.1558542661946
2025-01-28,1110.3439185666364,1164.9495853924193,1465.7191266965365
2025-01-29,1115.32505417905,1174.9900716795742,1488.0433335408206
2025-01-30,1120.4943481668815,1181.399444118666,1504.4147403158395
2025-01-31,1123.6927076444783,1188.3465755841687,1514.0475398670105
2025-02-03,1117.003184545127,1175.3516416006748,1488.5661216023982
2025-02-04,1120.1099971878853,1186.3878117808338,1498.3687891843806
2025-02-05,1119.0557064477625,1178.3284440980406,1485.4692605387409
2025-02-06,1126.292006990405,1185.7575705931492,1501.090189773533
2025-02-07,1124.752207749998,1191.3513851685211,1509.3880605371628
2025-02-10,1127.5875936763332,1197.484625784853,1528.0755802954868
2025-02-11,1127.4884221574907,1193.6826476502283,1509.3358847594427
2025-02-12,1122.034039351251,1188.6994518470372,1514.4232388007279
2025-02-13,1127.7373306876243,1192.148257684818,1509.746484799422
2025-02-14,1129.353401832022,1197.714757382569,1520.010673914451
2025-02-17,1136.2933527841285,1203.6318670374098,1526.9214977021604
2025-02-18,1138.7065532217225,1204.3595434773729,1539.0840657554343
2025-02-19,1136.9834960972976,1206.558375031796,1549.7694873879632
2025-02-20,1133.4600613165076,1204.028154739748,1534.4229856380773
2025-02-21,1135.7830995707332,1208.5259751387223,1543.8429996773116
2025-02-24,1130.5427090280862,1187.9002673788339,1475.0121980515778
2025-02-25,1124.2371889282022,1176.3798831713707,1439.1072687909773
2025-02-26,1135.9470314772889,1191.8282698478745,1461.2829825853262
2025-02-27,1134.9838273428115,1190.8407312787792,1447.1069992778737
2025-02-28,1128.2004445615578,1169.9894853888009,1409.6354059382313
2025-03-03,1133.264757567325,1170.0311271084583,1405.1921173582518
2025-03-04,1107.6893612470403,1137.1079515867045,1357.0307108216484
2025-03-05,1104.8086137085263,1135.5258049148877,1390.8628206277385
2025-03-06,1108.0434697881212,1143.3049098842494,1401.605046934739
2025-03-07,1099.438458956803,1130.0239697980019,1369.497971449954
2025-03-10,1093.0593165153718,1116.9227128564683,1310.2740681071796
2025-03-11,1078.2162653665855,1102.8335045387892,1323.2212241516986
2025-03-12,1081.433101932113,1112.6295022490392,1340.0808156620533
2025-03-13,1077.6980422042234,1105.676412274512,1318.487175530411
2025-03-14,1085.7268455939768,1121.540039292467,1346.9673976073839
2025-03-17,1095.5401780951213,1127.8171581093834,1360.6194990761066
2025-03-18,1095.5499817550478,1122.456376798741,1347.8389509940514
2025-03-19,1101.4332180857295,1130.5605178599342,1373.5469250431418
2025-03-20,1100.8235678500039,1128.1775737671937,1350.7560325498614
2025-03-21,1098.5326253545395,1125.1471266384822,1341.9290677905376
2025-03-24,1104.2197576769659,1140.3569139489432,1375.8028890239877
2025-03-25,1107.9328945988345,1141.675756441103,1374.0213130969437
2025-03-26,1102.5661020829552,1139.6604261692228,1363.7883172199497
2025-03-27,1103.0530209630692,1138.0047727610106,1355.9297269401825
2025-03-28,1088.4470021834243,1112.6759101509188,1302.8130164802144
2025-03-31,1082.545491996125,1103.6107064608188,1274.4997831468681
2025-04-01,1091.8985897151438,1118.2233039801054,1303.372546830022
2025-04-02,1089.7496125678538,1115.4247893589065,1293.8817408297878
2025-04-03,1058.2249774923496,1071.2145860303156,1236.9530272254788
2025-04-04,1017.6829006484179,1025.776563491232,1185.596297764614
2025-04-07,981.9759579533744,973.8715732379866,1120.2484710275749
2025-04-08,1001.9593347112348,1004.0703190592385,1129.240260665485
2025-04-09,973.3465239108513,981.1255686565894,1137.4373861637673
2025-04-10,1000.5293602793521,1012.8930952821415,1152.1204969319579
