date,sp500_ew,msci_europe,msci_em,msci_ageing,euro_govbond_1_5y
2025-01-20,6.183982907624351,32.645,40.675,9.212075571346263,142.1
2025-01-21,6.229713874772271,32.76,40.38,9.319694601591717,142.23
2025-01-22,6.226047468050352,32.9,40.45,9.248538483712887,142.12
2025-01-23,6.224969186749879,33.015,40.47,9.404835333653383,142.1
2025-01-24,6.188956065948728,33.015,40.515,9.407118078719147,142.06
2025-01-27,6.160452959679726,33.005,39.68,9.460440377466401,142.24
2025-01-28,6.191867088607596,33.115,39.925,9.568164556962026,142.2
2025-01-29,6.207971113243762,33.29,40.52,9.589087571976966,142.18
2025-01-30,6.225423484119346,33.565,41.025,9.580102261790184,142.27
2025-01-31,6.260764331210192,33.615,41.17,9.589635205558773,142.55
2025-02-03,6.231017981438515,33.35,40.935,9.463275812064966,142.63
2025-02-04,6.195606437313288,33.445,41.3,9.584429989399633,142.79
2025-02-05,6.177257065948856,33.59,40.975,9.579076619880793,142.75
2025-02-06,6.214724246219054,33.97,41.225,9.650992678932665,142.75
2025-02-07,6.22312491527065,33.805,41.44,9.573807252832381,142.75
2025-02-10,6.212901098389288,34.025,41.905,9.545073743450416,142.77
2025-02-11,6.205886196911196,34.12,41.75,9.54844111969112,142.75
2025-02-12,6.14909477942593,34.115,41.6,9.4345641494895,142.6
2025-02-13,6.145610665137615,34.46,41.65,9.579251481269113,142.68
2025-02-14,6.139551043751788,34.355,41.74,9.707760223048327,142.77
2025-02-17,6.158655966418623,34.56,42.21,9.847794552566304,142.72
2025-02-18,6.193818094782192,34.66,42.45,9.791786500718047,142.72
2025-02-19,6.227044957297764,34.375,42.475,9.75485438057768,142.58
2025-02-20,6.157854476190476,34.315,42.535,9.742295238095236,142.63
2025-02-21,6.160778255880666,34.49,42.905,9.679618473895582,142.83
2025-02-24,6.128658895471049,34.475,41.94,9.691748519013949,142.85
2025-02-25,6.073612479786931,34.51,41.66,9.516370208313518,142.93
2025-02-26,6.132314795383002,34.85,42.39,9.691668415529906,142.98
2025-02-27,6.146444262768107,34.695,42.025,9.762462970087524,142.95
2025-02-28,6.121816867469879,34.725,41.08,9.628223855421686,143.14
2025-03-03,6.116979687201984,35.105,40.98,9.773119397291628,143.04
2025-03-04,5.895427993222892,34.385,40.305,9.39740013177711,143.02
2025-03-05,5.773769786839666,34.6,40.65,9.400896895273402,142.54
2025-03-06,5.800663173513865,34.605,40.62,9.512466382268386,142.62
2025-03-07,5.728240398818317,34.465,40.35,9.33634601181684,142.67
2025-03-10,5.760140417282128,34.01,39.775,9.237736798375186,142.79
2025-03-11,5.6001706722843005,33.435,39.49,9.156941289613481,142.7
2025-03-12,5.590026823442955,33.69,39.83,9.155098291383428,142.79
2025-03-13,5.569332934021379,33.655,39.72,9.194737836343531,140.97
2025-03-14,5.626769188344516,34.035,40.275,9.19468885007813,140.93
2025-03-17,5.682447303360498,34.33,40.805,9.334939337057046,141.02
2025-03-18,5.654756465320296,34.515,40.745,9.337476012062504,140.93
2025-03-19,5.71828272635538,34.585,40.925,9.427116778277222,141.0
2025-03-20,5.73365758916229,34.435,40.7,9.473466961570363,141.05
2025-03-21,5.713592935084152,34.265,40.695,9.469895043462179,141.15
2025-03-24,5.812353796296296,34.22,41.005,9.494866898148148,141.11
2025-03-25,5.799222036882588,34.44,40.9,9.649377722175888,141.17
